乐谱 (yue,qi)
乐迷 (yue,mi)
乐道好古 (le,dao,hao,gu)
乐队 (yue,dui)
乐音 (yue,yin)
乘便 (cheng,bian)
乘兴 (cheng,xing)
乘势 (cheng,shi)
乘壶 (sheng,hu)
乘客 (cheng,ke)
乘数 (cheng,shu)
乘肥衣轻 (cheng,fei,yi,qing)
乘舆 (sheng,yu)
乘舆播越 (cheng,yu,bo,yue)
乘间伺隙 (cheng,jian,si,xi)
乘风兴浪 (cheng,feng,xing,lang)
乘风破浪 (cheng,feng,po,lang)
乜斜 (nie,xie)
乜斜缠帐 (nie,xie,chan,zhang)
九大行星 (jiu,da,hang,xing)
九曲回肠 (jiu,qu,hui,chang)
九死一生 (jiu,si,yi,sheng)
九牛一毛 (jiu,niu,yi,mao)
九牛拉不转 (jiu,niu,la,bu,zhuan)
九蒸三熯 (jiu,zheng,san,sheng)
九行八业 (jiu,hang,ba,ye)
九转功成 (jiu,zhuan,gong,cheng)
九重霄 (jiu,chong,xiao)
九鼎不足为重 (jiu,ding,bu,zu,wei,zhong)
乞降 (qi,xiang)
习以为常 (xi,yi,wei,chang)
习焉不察 (xi,yan,bu,cha)
乡曲 (xiang,qu)
书卷 (shu,juan)
书卷气 (shu,juan,qi)
书缺有间 (shu,que,you,jian)
书背 (shu,bei)
买得起 (mai,de,qi)
买椟还珠 (mai,du,huan,zhu)
乱七八糟 (luan,qi,ba,zao)
乱作胡为 (luan,zuo,hu,wei)
乱哄哄 (luan,hong,hong)
乱成一团 (luan,cheng,yi,tuan)
乱箭攒心 (luan,jian,cuan,xin)
乳晕 (ru,yun)
乳臭 (ru,xiu)
乳臭未除 (ru,chou,wei,chu)
了不可见 (liao,bu,ke,jian)
了不得 (liao,bu,de)
了不起 (liao,bu,qi)
了不长进 (liao,bu,zhang,jin)
了了 (liao,liao)
了了可见 (liao,liao,ke,jian)
了事 (liao,shi)
了却 (liao,que)
了如指掌 (liao,ru,zhi,zhang)
了局 (liao,ju)
了当 (liao,dang)
了得 (liao,de)
了悟 (liao,wu)
了断 (liao,duan)
了无 (liao,wu)
